id,apellido,nombre,genero,distrito,inicio,fin,juramento,cese,bloque,bloque_inicio,bloque_fin
hcdn1509,pretto,pedro javier,m,cordoba,2015-12-10,2019-12-09,2015-12-04,2019-12-09,union pro,2015-12-10,2017-12-09
hcdn1509,pretto,pedro javier,m,cordoba,2015-12-10,2019-12-09,2015-12-04,2019-12-09,pro,2017-12-10,2019-12-09
hcdn1016,prieto,hugo nelson,m,neuquen,2007-12-10,2011-12-09,2007-12-05,2011-12-09,de la concertacion,2007-12-10,2011-12-09
hcdn2905,propato,agustina lucrecia,f,buenos aires,2021-12-10,2025-12-09,2021-12-07,2025-12-09,frente de todos,2021-12-10,2023-12-09
hcdn2905,propato,agustina lucrecia,f,buenos aires,2021-12-10,2025-12-09,2021-12-07,2025-12-09,unión por la patria,2023-12-10,2025-12-09
hcdn2905,propato,agustina lucrecia,f,buenos aires,2025-12-10,2029-12-09,,2029-12-09,unión por la patria,2025-12-10,2029-12-09
hcdn1322,pucheta,ramona,f,buenos aires,2011-12-10,2015-12-09,2011-12-06,2015-12-09,socialista del mijd,2011-12-10,2013-10-21
hcdn1322,pucheta,ramona,f,buenos aires,2011-12-10,2015-12-09,2011-12-06,2015-12-09,frente por la inclusion social,2013-10-22,2015-12-09
hcdn0462,puerta,federico ramon,m,misiones,2009-12-10,2013-12-09,2009-12-03,2013-12-09,peronismo federal,2009-12-10,2011-12-06
hcdn0462,puerta,federico ramon,m,misiones,2009-12-10,2013-12-09,2009-12-03,2013-12-09,frente peronista,2011-12-07,2013-12-09
hcdn0230,puiggros,adriana victoria,f,buenos aires,2007-12-10,2011-12-09,2007-12-19,2011-12-09,frente para la victoria - pj,2007-12-10,2011-12-09
hcdn0230,puiggros,adriana victoria,f,buenos aires,2011-12-10,2015-12-09,2011-12-06,2015-12-09,frente para la victoria - pj,2011-12-10,2015-12-09
hcdn2406,quetglas,fabio jose,m,buenos aires,2017-12-10,2021-12-09,2017-12-06,2021-12-09,ucr,2017-12-10,2021-12-09
hcdn2406,quetglas,fabio jose,m,buenos aires,2021-12-10,2025-12-09,2021-12-07,2025-12-09,ucr,2021-12-10,2023-12-09
hcdn2406,quetglas,fabio jose,m,buenos aires,2021-12-10,2025-12-09,2021-12-07,2025-12-09,ucr - unión cívica radical,2023-12-10,2025-12-09
hcdn1471,quintar,amado,m,catamarca,2015-12-10,2019-12-09,2015-12-04,2016-12-12,frente civico y social de catamarca,2015-12-10,2016-12-12
hcdn3097,quintar,manuel,m,jujuy,2023-12-10,2027-12-09,2023-12-07,2027-12-09,la libertad avanza,2023-12-10,2027-12-09
hcdn1132,quintero,marta beatriz,f,la rioja,2007-12-10,2011-12-09,2009-11-25,2011-12-09,frente para la victoria - pj,2009-11-25,2011-12-09
hcdn1204,quiroga,horacio rodolfo,m,neuquen,2009-12-10,2013-12-09,2009-12-03,2011-11-29,ucr,2009-12-10,2011-11-29
hcdn0463,quiroz,elsa siria,f,buenos aires,2007-12-10,2011-12-09,2007-12-19,2011-12-09,coalicion civica - ari - gen - upt,2007-12-10,2009-12-09
hcdn0463,quiroz,elsa siria,f,buenos aires,2007-12-10,2011-12-09,2007-12-19,2011-12-09,coalicion civica,2009-12-10,2011-12-09
hcdn2945,quiroz,marilu,f,chaco,2021-12-10,2025-12-09,2021-12-07,2025-12-09,pro,2021-12-10,2023-12-09
hcdn2945,quiroz,marilu,f,chaco,2021-12-10,2025-12-09,2021-12-07,2025-12-09,pro,2023-12-10,2025-12-09
hcdn1472,rach quiroga,analia,f,chaco,2015-12-10,2019-12-09,2015-12-04,2019-12-09,frente para la victoria - pj,2015-12-10,2019-12-09
hcdn1558,raffo,julio,m,ciudad de buenos aires,2013-12-10,2017-12-09,2016-03-01,2017-12-09,unipersonal,2016-03-08,2016-03-20
hcdn1558,raffo,julio,m,ciudad de buenos aires,2013-12-10,2017-12-09,2016-03-01,2017-12-09,dialogo y trabajo,2016-03-21,2017-12-09
hcdn0132,raimundi,carlos,m,buenos aires,2011-12-10,2015-12-09,2011-12-06,2015-12-09,nuevo encuentro popular y solidario,2011-12-10,2011-12-12
hcdn0132,raimundi,carlos,m,buenos aires,2011-12-10,2015-12-09,2011-12-06,2015-12-09,nuevo encuentro,2011-12-13,2013-06-27
hcdn0132,raimundi,carlos,m,buenos aires,2011-12-10,2015-12-09,2011-12-06,2015-12-09,frente nuevo encuentro,2013-06-28,2015-06-08
hcdn0132,raimundi,carlos,m,buenos aires,2011-12-10,2015-12-09,2011-12-06,2015-12-09,solidario si,2015-06-09,2015-12-09
hcdn2407,ramon,jose luis,m,mendoza,2017-12-10,2021-12-09,2017-12-06,2021-12-09,partido intransigente,2017-12-10,2018-06-12
hcdn2407,ramon,jose luis,m,mendoza,2017-12-10,2021-12-09,2017-12-06,2021-12-09,bloque protectora,2018-06-13,2019-12-09
hcdn2407,ramon,jose luis,m,mendoza,2017-12-10,2021-12-09,2017-12-06,2021-12-09,unidad y equidad federal,2019-12-10,2021-12-09
hcdn1492,ramos,alejandro,m,santa fe,2015-12-10,2019-12-09,2015-12-04,2019-12-09,frente para la victoria - pj,2015-12-10,2017-12-05
hcdn1492,ramos,alejandro,m,santa fe,2015-12-10,2019-12-09,2015-12-04,2019-12-09,primero argentina,2017-12-06,2019-12-09
hcdn1042,randazzo,florencio,m,buenos aires,2021-12-10,2025-12-09,2021-12-07,2025-12-09,identidad bonaerense,2021-12-10,2023-12-09
hcdn1042,randazzo,florencio,m,buenos aires,2021-12-10,2025-12-09,2021-12-07,2025-12-09,hacemos por nuestro país,2023-12-10,2023-12-27
