id_diputado,nombre,apellido,nombre_completo,genero,distritos,cantidad_distritos,cantidad_bloques,fecha_inicio,fecha_fin
hcdn1365,soledad,carrizo,soledad carrizo,f,cordoba,1,2,2013-12-10,2025-12-09
hcdn1366,martin rodrigo,gill,martin rodrigo gill,m,cordoba,1,1,2013-12-10,2017-12-09
hcdn1367,diego matias,mestre,diego matias mestre,m,cordoba,1,1,2013-12-10,2021-12-09
hcdn1368,blanca araceli,rossi,blanca araceli rossi,f,cordoba,1,3,2013-12-10,2017-12-09
hcdn1369,silvia carolina,scotto,silvia carolina scotto,f,cordoba,1,1,2013-12-10,2017-12-09
hcdn1370,carlos gustavo,rubin,carlos gustavo rubin,m,corrientes,1,2,2013-12-10,2017-12-09
hcdn1371,maria de las mercedes,semhan,maria de las mercedes semhan,f,corrientes,1,2,2013-12-10,2017-12-09
hcdn1372,gustavo adolfo,valdes,gustavo adolfo valdes,m,corrientes,1,1,2013-12-10,2017-12-09
hcdn1373,jorge ruben,barreto,jorge ruben barreto,m,entre rios,1,1,2013-12-10,2017-12-09
hcdn1374,jorge marcelo,d'agostino,jorge marcelo d'agostino,m,entre rios,1,1,2013-12-10,2017-12-09
hcdn1375,ana carolina,gaillard,ana carolina gaillard,f,entre rios,1,3,2013-12-10,2025-12-09
hcdn1376,maria gabriela,burgos,maria gabriela burgos,f,jujuy,1,1,2013-12-10,2021-12-09
hcdn1377,hector olindo,tentor,hector olindo tentor,m,jujuy,1,2,2013-12-10,2017-12-09
hcdn1378,gustavo rodolfo,fernandez mendia,gustavo rodolfo fernandez mendia,m,la pampa,1,3,2013-12-10,2017-12-09
hcdn1379,carlos javier,mac allister,carlos javier mac allister,m,la pampa,1,1,2013-12-10,2017-12-09
hcdn1380,francisco javier,torroba,francisco javier torroba,m,la pampa,1,1,2013-12-10,2017-12-09
hcdn1381,teresita,madera,teresita madera,f,la rioja,1,2,2013-12-10,2017-12-09
hcdn1382,alejandro,abraham,alejandro abraham,m,mendoza,1,1,2013-12-10,2017-12-09
hcdn1383,nicolas,del caño,nicolas del caño,m,buenos aires | mendoza,2,6,2013-12-10,2029-12-09
hcdn1384,patricia viviana,gimenez,patricia viviana gimenez,f,mendoza,1,1,2013-12-10,2017-12-09
hcdn1385,luis,petri,luis petri,m,mendoza,1,2,2013-12-10,2029-12-09
hcdn1386,luis mario,pastori,luis mario pastori,m,misiones,1,1,2013-12-10,2021-12-09
hcdn1387,adrian,san martin,adrian san martin,m,neuquen,1,1,2013-12-10,2017-12-09
hcdn1388,maria ines,villar molina,maria ines villar molina,f,neuquen,1,1,2013-12-10,2017-12-09
hcdn1389,luis maria,bardeggia,luis maria bardeggia,m,rio negro,1,1,2013-12-10,2017-12-09
hcdn1390,maria emilia,soria,maria emilia soria,f,rio negro,1,1,2013-12-10,2021-12-09
hcdn1391,guillermo mario,durand cornejo,guillermo mario durand cornejo,m,salta,1,2,2013-12-10,2017-12-09
hcdn1392,evita nelida,isa,evita nelida isa,f,salta,1,2,2013-12-10,2017-12-09
hcdn1393,pablo sebastian,lopez,pablo sebastian lopez,m,salta,1,1,2013-12-10,2017-12-09
hcdn1394,eduardo augusto,caceres,eduardo augusto caceres,m,san juan,1,2,2013-12-10,2021-12-09
hcdn1395,sandra daniela,castro,sandra daniela castro,f,san juan,1,1,2013-12-10,2021-12-09
hcdn1396,berta hortensia,arenas,berta hortensia arenas,f,san luis,1,1,2013-12-10,2017-12-09
hcdn1397,jose luis,riccardo,jose luis riccardo,m,san luis,1,1,2013-12-10,2021-12-09
hcdn1398,fernando aldo,salino,fernando aldo salino,m,san luis,1,1,2013-12-10,2017-12-09
hcdn1399,mauricio ricardo,gomez bull,mauricio ricardo gomez bull,m,santa cruz,1,1,2013-12-10,2017-12-09
hcdn1400,susana maria,toledo,susana maria toledo,f,santa cruz,1,1,2013-12-10,2017-12-09
hcdn1401,mario domingo,barletta,mario domingo barletta,m,santa fe,1,1,2013-12-10,2017-12-09
hcdn1402,josefina victoria,gonzalez,josefina victoria gonzalez,f,santa fe,1,2,2013-12-10,2021-12-09
hcdn1403,pablo lautaro,javkin,pablo lautaro javkin,m,santa fe,1,1,2013-12-10,2017-12-09
hcdn1404,gisela,scaglia,gisela scaglia,f,santa fe,1,3,2013-12-10,2029-12-09
hcdn1405,ricardo adrian,spinozzi,ricardo adrian spinozzi,m,santa fe,1,1,2013-12-10,2017-12-09
hcdn1406,miguel ignacio,torres del sel,miguel ignacio torres del sel,m,santa fe,1,1,2013-12-10,2017-12-09
hcdn1407,manuel humberto,juarez,manuel humberto juarez,m,santiago del estero,1,1,2013-12-10,2017-12-09
hcdn1408,oscar anselmo,martinez,oscar anselmo martinez,m,tierra del fuego,1,1,2013-12-10,2017-12-09
hcdn1409,martin alejandro,perez,martin alejandro perez,m,tierra del fuego,1,2,2013-12-10,2021-12-09
hcdn1410,osvaldo francisco,jaldo,osvaldo francisco jaldo,m,tucuman,1,1,2013-12-10,2017-12-09
hcdn1419,silvia beatriz,elias de perez,silvia beatriz elias de perez,f,tucuman,1,1,2013-12-10,2017-12-09
hcdn1420,nilda mabel,carrizo,nilda mabel carrizo,f,tucuman,1,2,2013-12-10,2023-12-09
hcdn1421,lautaro,gervasoni,lautaro gervasoni,m,entre rios,1,1,2013-12-10,2017-12-09
hcdn1422,josue,gagliardi,josue gagliardi,m,rio negro,1,1,2011-12-10,2015-12-09
hcdn1423,veronica,gonzalez,veronica gonzalez,f,tierra del fuego,1,1,2011-12-10,2015-12-09
hcdn1424,juan fernando,marcopulos,juan fernando marcopulos,m,corrientes,1,1,2011-12-10,2015-12-09
hcdn1425,graciela eunice,boyadjian,graciela eunice boyadjian,f,tierra del fuego,1,1,2011-12-10,2015-12-09
