"ID","APELLIDO","NOMBRE","GENERO","DISTRITO","INICIO","FIN","JURAMENTO","CESE","BLOQUE","BLOQUE_INICIO","BLOQUE_FIN"
"HCDN0646","SCHIARETTI","JUAN","M","CORDOBA","2025-12-10T00:00:00","2029-12-09T00:00:00","2026-02-12T00:00:00","2029-12-09T00:00:00","PROVINCIAS UNIDAS","2026-02-13T00:00:00","2026-02-13T00:00:00"
"HCDN0646","SCHIARETTI","JUAN","M","CORDOBA","2025-12-10T00:00:00","2029-12-09T00:00:00","2026-02-12T00:00:00","2029-12-09T00:00:00","PROVINCIAS UNIDAS","2026-02-13T00:00:00","2029-12-09T00:00:00"
"HCDN2763","SCHIAVONI","ALFREDO OSCAR","M","MISIONES","2019-12-10T00:00:00","2023-12-09T00:00:00","2019-12-04T00:00:00","2023-12-09T00:00:00","PRO","2019-12-10T00:00:00","2023-12-09T00:00:00"
"HCDN2419","SCHLERETH","DAVID PABLO","M","NEUQUEN","2017-12-10T00:00:00","2021-12-09T00:00:00","2017-12-06T00:00:00","2021-12-09T00:00:00","PRO","2017-12-10T00:00:00","2021-12-09T00:00:00"
"HCDN2444","SCHLOTTHAUER","MONICA LETICIA","F","BUENOS AIRES","2015-12-10T00:00:00","2019-12-09T00:00:00","2019-04-04T00:00:00","2019-12-09T00:00:00","IZQUIERDA SOCIALISTA - FRENTE DE IZQUIERDA","2019-04-04T00:00:00","2019-12-09T00:00:00"
"HCDN2444","SCHLOTTHAUER","MONICA LETICIA","F","BUENOS AIRES","2017-12-10T00:00:00","2021-12-09T00:00:00","2021-06-10T00:00:00","2021-12-09T00:00:00","IZQUIERDA SOCIALISTA - FRENTE DE IZQUIERDA","2019-04-04T00:00:00","2019-12-09T00:00:00"
"HCDN2444","SCHLOTTHAUER","MONICA LETICIA","F","BUENOS AIRES","2017-12-10T00:00:00","2021-12-09T00:00:00","2021-06-10T00:00:00","2021-12-09T00:00:00","IZQUIERDA SOCIALISTA - FRENTE DE IZQUIERDA","2021-06-10T00:00:00","2021-12-09T00:00:00"
"HCDN2444","SCHLOTTHAUER","MONICA LETICIA","F","BUENOS AIRES","2021-12-10T00:00:00","2025-12-09T00:00:00","2024-06-27T00:00:00","2025-04-10T00:00:00","IZQUIERDA SOCIALISTA FIT-UNIDAD","2024-06-27T00:00:00","2025-04-10T00:00:00"
"HCDN1302","SCHMIDT LIERMANN","CORNELIA","F","CIUDAD DE BUENOS AIRES","2011-12-10T00:00:00","2015-12-09T00:00:00","2011-12-06T00:00:00","2015-12-09T00:00:00","PRO","2011-12-10T00:00:00","2013-12-09T00:00:00"
"HCDN1302","SCHMIDT LIERMANN","CORNELIA","F","CIUDAD DE BUENOS AIRES","2011-12-10T00:00:00","2015-12-09T00:00:00","2011-12-06T00:00:00","2015-12-09T00:00:00","UNION PRO","2013-12-10T00:00:00","2015-12-09T00:00:00"
"HCDN1302","SCHMIDT LIERMANN","CORNELIA","F","CIUDAD DE BUENOS AIRES","2015-12-10T00:00:00","2019-12-09T00:00:00","2015-12-04T00:00:00","2019-12-09T00:00:00","UNION PRO","2015-12-10T00:00:00","2017-12-09T00:00:00"
"HCDN1302","SCHMIDT LIERMANN","CORNELIA","F","CIUDAD DE BUENOS AIRES","2015-12-10T00:00:00","2019-12-09T00:00:00","2015-12-04T00:00:00","2019-12-09T00:00:00","PRO","2017-12-10T00:00:00","2019-12-09T00:00:00"
"HCDN3195","SCHNEIDER","DARIO","M","ENTRE RIOS","2025-12-10T00:00:00","2029-12-09T00:00:00",NA,"2029-12-09T00:00:00","UCR - UNIÓN CÍVICA RADICAL","2025-12-10T00:00:00","2029-12-09T00:00:00"
"HCDN1350","SCHWINDT","MARIA LILIANA","F","BUENOS AIRES","2013-12-10T00:00:00","2017-12-09T00:00:00","2013-12-04T00:00:00","2017-12-09T00:00:00","FRENTE RENOVADOR","2013-12-10T00:00:00","2015-12-09T00:00:00"
"HCDN1350","SCHWINDT","MARIA LILIANA","F","BUENOS AIRES","2013-12-10T00:00:00","2017-12-09T00:00:00","2013-12-04T00:00:00","2017-12-09T00:00:00","FEDERAL UNIDOS POR UNA NUEVA ARGENTINA","2015-12-10T00:00:00","2017-12-09T00:00:00"
"HCDN1350","SCHWINDT","MARIA LILIANA","F","BUENOS AIRES","2017-12-10T00:00:00","2021-12-09T00:00:00","2020-02-27T00:00:00","2021-12-09T00:00:00","FRENTE DE TODOS","2020-02-27T00:00:00","2021-12-09T00:00:00"
"HCDN0240","SCIOLI","DANIEL","M","BUENOS AIRES","2017-12-10T00:00:00","2021-12-09T00:00:00","2017-12-10T00:00:00","2020-03-05T00:00:00","FRENTE PARA LA VICTORIA - PJ","2017-12-10T00:00:00","2019-12-09T00:00:00"
"HCDN0240","SCIOLI","DANIEL","M","BUENOS AIRES","2017-12-10T00:00:00","2021-12-09T00:00:00","2017-12-10T00:00:00","2020-03-05T00:00:00","FRENTE DE TODOS","2019-12-10T00:00:00","2020-03-05T00:00:00"
